record_id,product_id,product_name,category,region,supplier_id,transaction_date,expiration_date,shelf_life_days,days_remaining_at_purchase,storage_temp,temp_deviation,base_price,cost_price,initial_quantity,spoilage_sensitivity,day_of_week,is_weekend,month,daily_demand,demand_variability,temp_abuse_events,distribution_hours,handling_score,packaging_score,spoilage_risk,was_spoiled,quality_grade,days_until_expiry,markdown_applied,discount_pct,selling_price,units_sold,units_wasted,waste_pct,revenue,waste_cost,profit,profit_margin_pct,supplier_score,is_promoted,official_id
1,BAK_DON_743,Donuts,Bakery,West,SUPPLIER_03,2024-09-25,2024-09-29,4,4,21.0,1.0,2.6,1.22,158,0.5,2,0,9,54,0.35,0,41.5,9,10,0.099,0,A,2,0,0.0,2.6,138,20,12.7,358.8,24.4,166.04,46.3,9,0,VM_046
3,BAK_BAG_799,Bagels,Bakery,Midwest,SUPPLIER_08,2024-10-25,2024-10-27,2,2,21.3,1.3,4.12,2.12,483,0.5,4,0,10,331,0.35,0,54.1,4,8,0.201,0,B,0,1,0.69,1.28,483,0,0.0,618.24,0.0,-405.72,-65.6,9,0,VM_035
6,PHA_EYE_369,Eye Drops,Pharmaceuticals,West,SUPPLIER_12,2024-08-21,2025-07-06,468,319,4.5,0.5,121.37,84.87,270,0.85,2,0,8,0,0.49,0,4.3,10,8,0.142,0,A,317,0,0.0,121.37,0,270,100.0,0.0,22914.9,-22914.9,0.0,6,0,VM_026
8,FRO_FRO_710,Frozen Dinners,Frozen_Meals,Northeast,SUPPLIER_01,2024-04-24,2025-02-16,330,298,-18.5,1.5,14.88,6.46,463,0.3,2,0,4,0,0.44,0,44.5,5,7,0.204,1,B,297,0,0.0,14.88,0,463,100.0,0.0,2990.98,-2990.98,0.0,7,0,VM_036
9,PHA_ANT_887,Antibiotics,Pharmaceuticals,Northeast,SUPPLIER_14,2024-10-18,2025-10-17,378,364,4.1,0.9,91.71,36.77,379,0.85,4,0,10,2,0.2,0,15.2,5,7,0.191,0,B,364,0,0.0,91.71,379,0,0.0,34758.09,0.0,20822.26,59.9,6,0,VM_019
13,PHA_VAC_231,Vaccines,Pharmaceuticals,Southwest,SUPPLIER_09,2024-11-06,2025-11-17,516,376,5.5,0.5,270.92,157.67,118,0.85,2,0,11,1,0.32,1,12.0,4,5,0.261,0,C,376,1,0.22,211.32,118,0,0.0,24935.76,0.0,6330.7,25.4,8,0,VM_011
20,PHA_INS_151,Insulin,Pharmaceuticals,Southeast,SUPPLIER_08,2024-10-29,2026-06-01,583,580,2.2,2.8,95.66,52.2,119,0.85,1,0,10,1,0.27,3,28.3,6,9,0.178,0,B,579,0,0.0,95.66,119,0,0.0,11383.54,0.0,5171.74,45.4,9,1,VM_006
21,FRO_PIZ_268,Pizza,Frozen_Meals,West,SUPPLIER_15,2024-01-24,2024-03-13,61,49,-17.1,2.9,8.56,5.21,384,0.3,2,0,1,8,0.14,1,26.5,5,6,0.225,0,C,47,1,0.24,6.51,384,0,0.0,2499.84,0.0,499.2,20.0,6,0,VM_017
22,PHA_BIO_835,Biologics,Pharmaceuticals,Northeast,SUPPLIER_07,2024-05-13,2024-11-05,188,176,4.5,0.5,484.82,278.17,287,0.85,0,0,5,2,0.44,0,55.6,10,6,0.185,1,A,174,0,0.0,484.82,200,87,30.3,96964.0,24200.79,17129.21,17.7,9,0,VM_019
27,MEA_BEE_569,Beef,Meat,Midwest,SUPPLIER_07,2024-09-28,2024-10-02,4,4,-1.3,2.3,15.12,6.65,188,0.9,5,1,9,84,0.21,1,21.0,6,10,0.146,1,A,4,0,0.0,15.12,131,57,30.3,1980.72,379.05,730.52,36.9,9,0,VM_035
