record_id,product_id,product_name,category,store_id,region,supplier_id,transaction_date,expiration_date,shelf_life_days,days_remaining_at_purchase,storage_temp,temp_deviation,base_price,cost_price,initial_quantity,spoilage_sensitivity,day_of_week,is_weekend,month,daily_demand,demand_variability,temp_abuse_events,distribution_hours,handling_score,packaging_score,spoilage_risk,was_spoiled,quality_grade,days_until_expiry,markdown_applied,discount_pct,selling_price,units_sold,units_wasted,waste_pct,revenue,waste_cost,profit,profit_margin_pct,supplier_score,is_promoted
1,BAK_DON_743,Donuts,Bakery,STORE_046,West,SUPPLIER_03,2024-09-25,2024-09-29,4.0,4.0,21.0,1.0,2.6,1.22,158.0,0.5,2.0,0.0,9.0,54.0,0.35,0.0,41.5,9.0,10.0,0.099,0.0,A,2.0,0.0,0.0,2.6,138.0,20.0,12.7,358.8,24.4,166.04,46.3,9.0,0.0
2,MEA_SAU_338,Sausages,Meat,STORE_030,Southwest,SUPPLIER_12,2023-04-14,2023-04-21,9.0,7.0,0.7,0.3,8.25,4.18,353.0,0.9,4.0,0.0,4.0,55.0,0.35,0.0,38.7,8.0,8.0,0.172,0.0,A,4.0,0.0,0.0,8.25,251.0,102.0,28.9,2070.75,426.36,595.21,28.7,6.0,0.0
3,BAK_BAG_799,Bagels,Bakery,STORE_035,Midwest,SUPPLIER_08,2024-10-25,2024-10-27,2.0,2.0,21.3,1.3,4.12,2.12,483.0,0.5,4.0,0.0,10.0,331.0,0.35,0.0,54.1,4.0,8.0,0.201,0.0,B,0.0,1.0,0.69,1.28,483.0,0.0,0.0,618.24,0.0,-405.72,-65.6,9.0,0.0
4,PHA_VAC_801,Vaccines,Pharmaceuticals,STORE_003,Midwest,SUPPLIER_11,2023-11-29,2024-02-17,87.0,80.0,8.0,3.0,209.56,87.99,477.0,0.85,2.0,0.0,11.0,7.0,0.38,0.0,70.1,5.0,9.0,0.23,0.0,B,79.0,0.0,0.0,209.56,477.0,0.0,0.0,99960.12,0.0,57988.89,58.0,6.0,0.0
5,REA_FRE_422,Fresh Pasta,Ready_to_Eat,STORE_042,West,SUPPLIER_15,2023-08-06,2023-08-09,4.0,3.0,3.5,0.5,6.86,3.03,391.0,0.9,6.0,1.0,8.0,169.0,0.25,0.0,64.9,5.0,6.0,0.268,0.0,C,3.0,1.0,0.23,5.28,391.0,0.0,0.0,2064.48,0.0,879.75,42.6,6.0,0.0
6,PHA_EYE_369,Eye Drops,Pharmaceuticals,STORE_026,West,SUPPLIER_12,2024-08-21,2025-07-06,468.0,319.0,4.5,0.5,121.37,84.87,270.0,0.85,2.0,0.0,8.0,0.0,0.49,0.0,4.3,10.0,8.0,0.142,0.0,A,317.0,0.0,0.0,121.37,0.0,270.0,100.0,0.0,22914.9,-22914.9,0.0,6.0,0.0
7,BEV_FRE_873,Fresh Juice,Beverages,STORE_041,Midwest,SUPPLIER_06,2023-02-18,2023-02-27,10.0,9.0,8.2,3.2,8.34,4.39,42.0,0.4,5.0,1.0,2.0,4.0,0.4,1.0,5.3,8.0,9.0,0.125,0.0,A,8.0,0.0,0.0,8.34,41.0,1.0,2.4,341.94,4.39,157.56,46.1,8.0,0.0
8,FRO_FRO_710,Frozen Dinners,Frozen_Meals,STORE_036,Northeast,SUPPLIER_01,2024-04-24,2025-02-16,330.0,298.0,-18.5,1.5,14.88,6.46,463.0,0.3,2.0,0.0,4.0,0.0,0.44,0.0,44.5,5.0,7.0,0.204,1.0,B,297.0,0.0,0.0,14.88,0.0,463.0,100.0,0.0,2990.98,-2990.98,0.0,7.0,0.0
9,PHA_ANT_887,Antibiotics,Pharmaceuticals,STORE_019,Northeast,SUPPLIER_14,2024-10-18,2025-10-17,378.0,364.0,4.1,0.9,91.71,36.77,379.0,0.85,4.0,0.0,10.0,2.0,0.2,0.0,15.2,5.0,7.0,0.191,0.0,B,364.0,0.0,0.0,91.71,379.0,0.0,0.0,34758.09,0.0,20822.26,59.9,6.0,0.0
10,BAK_CRO_880,Croissants,Bakery,STORE_041,Midwest,SUPPLIER_10,2023-07-02,2023-07-08,6.0,6.0,21.1,1.1,12.94,7.15,111.0,0.5,6.0,1.0,7.0,50.0,0.12,0.0,5.9,4.0,8.0,0.165,0.0,B,5.0,0.0,0.0,12.94,111.0,0.0,0.0,1436.34,0.0,642.69,44.7,8.0,0.0
11,SEA_TUN_880,Tuna,Seafood,STORE_001,Northeast,SUPPLIER_20,2023-06-15,2023-06-19,6.0,4.0,-0.9,0.9,19.99,8.11,485.0,0.95,3.0,0.0,6.0,116.0,0.23,0.0,5.7,6.0,6.0,0.239,0.0,B,3.0,0.0,0.0,19.99,257.0,228.0,47.0,5137.43,1849.08,1204.08,23.4,9.0,0.0
12,DEL_SAL_345,Salami,Deli,STORE_006,Southeast,SUPPLIER_03,2023-03-01,2023-03-05,6.0,4.0,3.1,0.9,14.25,9.19,399.0,0.75,2.0,0.0,3.0,103.0,0.3,0.0,52.6,7.0,5.0,0.268,1.0,B,4.0,0.0,0.0,14.25,279.0,120.0,30.1,3975.75,1102.8,308.94,7.8,9.0,0.0
13,PHA_VAC_231,Vaccines,Pharmaceuticals,STORE_011,Southwest,SUPPLIER_09,2024-11-06,2025-11-17,516.0,376.0,5.5,0.5,270.92,157.67,118.0,0.85,2.0,0.0,11.0,1.0,0.32,1.0,12.0,4.0,5.0,0.261,0.0,C,376.0,1.0,0.22,211.32,118.0,0.0,0.0,24935.76,0.0,6330.7,25.4,8.0,0.0
14,PHA_BIO_806,Biologics,Pharmaceuticals,STORE_043,Midwest,SUPPLIER_12,2023-07-25,2024-05-18,349.0,298.0,1.2,3.8,227.48,126.31,71.0,0.85,1.0,0.0,7.0,0.0,0.21,1.0,55.4,8.0,5.0,0.292,1.0,B,295.0,0.0,0.0,227.48,0.0,71.0,100.0,0.0,8968.01,-8968.01,0.0,6.0,0.0
15,PRO_TOM_165,Tomatoes,Produce,STORE_038,Southwest,SUPPLIER_08,2023-12-13,2023-12-16,3.0,3.0,4.6,3.4,1.05,0.64,40.0,0.6,2.0,0.0,12.0,16.0,0.46,1.0,33.0,5.0,6.0,0.244,0.0,C,3.0,1.0,0.19,0.85,40.0,0.0,0.0,34.0,0.0,8.4,24.7,9.0,0.0
16,PRO_LET_132,Lettuce,Produce,STORE_018,West,SUPPLIER_16,2023-12-05,2023-12-10,5.0,5.0,6.9,1.1,2.5,1.1,488.0,0.6,1.0,0.0,12.0,130.0,0.24,0.0,17.6,6.0,6.0,0.195,0.0,B,4.0,0.0,0.0,2.5,488.0,0.0,0.0,1220.0,0.0,683.2,56.0,10.0,0.0
