status,device_id,location,machine,product,category,transaction,transdate,type,rcoil,rprice,rqty,mcoil,mprice,mqty,linetotal,transtotal,prcd_date
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,14515778905,2022-01-01,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2022-01-01
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,14516018629,2022-01-01,Credit,148,3.5,1,148,3.5,1,3.5,5.0,2022-01-01
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14516018629,2022-01-01,Credit,123,1.5,1,123,1.5,1,1.5,5.0,2022-01-01
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14516020373,2022-01-01,Credit,123,1.5,1,123,1.5,1,1.5,1.5,2022-01-01
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,14516021756,2022-01-01,Credit,148,3.5,1,148,3.5,1,3.5,3.5,2022-01-01
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Bai Antioxidant - Brasilia BB,Non Carbonated,14517568743,2022-01-02,Cash,146,2.5,1,146,2.5,1,2.5,2.5,2022-01-02
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Miss Vickie's Potato Chip - Sea Salt & Vinega,Food,14518731524,2022-01-03,Cash,114,1.5,1,114,1.5,1,1.5,1.5,2022-01-02
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Miss Vickie's Potato Chip - Lime & Cracked Pe,Food,14519162059,2022-01-03,Credit,110,1.5,1,110,1.5,1,1.5,1.5,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,14519670154,2022-01-03,Credit,144,3.0,1,144,3.0,1,3.0,3.0,2022-01-03
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Seapoint Farms Dry Roasted Edamame - Wasabi,Food,14520315330,2022-01-03,Credit,134,2.5,1,134,2.5,1,2.5,2.5,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,14520522827,2022-01-03,Cash,143,2.5,1,143,2.5,1,2.5,2.5,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Skinny Pop Popcorn,Food,14520523909,2022-01-03,Cash,111,1.5,1,111,1.5,1,1.5,1.5,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Stretch Island Fruit Leathers Snacks - Variet,Food,14520526471,2022-01-03,Cash,131,1.0,1,131,1.0,1,1.0,1.0,2022-01-03
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,KitKat - Crisp Wafers,Food,14520549978,2022-01-03,Credit,136,1.75,1,136,1.75,1,1.75,1.75,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Skinny Pop Popcorn,Food,14520565434,2022-01-03,Cash,111,1.5,1,111,1.5,1,1.5,1.5,2022-01-03
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14520852487,2022-01-03,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-03
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14521022594,2022-01-03,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-03
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14521288291,2022-01-03,Credit,146,3.0,1,146,3.0,1,3.0,3.0,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Snapple Diet Tea - Lemon,Non Carbonated,14521610477,2022-01-03,Cash,143,2.5,1,143,2.5,1,2.5,2.5,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,14522404967,2022-01-03,Cash,146,3.0,1,146,3.0,1,3.0,3.0,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Monster Energy Original,Carbonated,14522580949,2022-01-03,Cash,144,3.0,1,144,3.0,1,3.0,3.0,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Spindrift - Sparkling Water  Lime,Carbonated,14522634264,2022-01-04,Cash,140,1.0,1,140,1.0,1,1.0,1.0,2022-01-03
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,14522634805,2022-01-04,Cash,134,2.0,1,134,2.0,1,2.0,2.0,2022-01-03
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt Original,Food,14522946212,2022-01-04,Credit,114,1.5,1,114,1.5,1,1.5,1.5,2022-01-04
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,KitKat - Crisp Wafers,Food,14522947106,2022-01-04,Credit,130,2.0,2,130,2.0,2,4.0,4.0,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Jacks Links Bar Beef Strip,Food,14524620560,2022-01-04,Cash,137,2.0,1,137,2.0,1,2.0,2.0,2022-01-04
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14524674062,2022-01-04,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-04
Processed,VJ300205292,Brunswick Sq Mall,BSQ Mall x1364 - Zales,Vitamin Water - XXX Acai BB Pomegranate,Water,14525272529,2022-01-04,Cash,147,2.75,1,147,2.75,1,2.75,2.75,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,14526266403,2022-01-04,Cash,122,1.5,1,122,1.5,1,1.5,1.5,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,14526267747,2022-01-04,Cash,134,2.0,1,134,2.0,1,2.0,2.0,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,14526269922,2022-01-04,Cash,122,1.5,1,122,1.5,1,1.5,1.5,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Spindrift - Sparkling Water  Lime,Carbonated,14526308615,2022-01-04,Cash,140,1.0,1,140,1.0,1,1.0,1.0,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Spindrift - Sparkling Water  Lime,Carbonated,14526311069,2022-01-04,Cash,140,1.0,1,140,1.0,1,1.0,1.0,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Pure Organic Fruit Bar - Strawberry Banana,Food,14526315544,2022-01-04,Cash,138,1.0,1,138,1.0,1,1.0,1.0,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos - Fleming Hot Crunchy,Food,14526868345,2022-01-04,Cash,122,1.5,1,122,1.5,1,1.5,1.5,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Oreo Mini,Food,14527060118,2022-01-04,Cash,123,1.5,1,123,1.5,1,1.5,1.5,2022-01-04
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Nutter Butter Bites,Food,14527060163,2022-01-04,Cash,124,1.5,1,124,1.5,1,1.5,1.5,2022-01-04
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14527909078,2022-01-05,Credit,146,3.0,1,146,3.0,1,3.0,3.0,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Jack Links Beef Steak Original,Food,14528521163,2022-01-05,Credit,133,2.0,1,133,2.0,1,2.0,2.0,2022-01-05
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Robert Irvine's - Fit Crunch -  Chocolate Pea,Food,14529356146,2022-01-05,Cash,133,2.0,1,133,2.0,1,2.0,2.0,2022-01-05
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14529986281,2022-01-05,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Skinny Pop Popcorn,Food,14531183749,2022-01-05,Cash,111,1.5,1,111,1.5,1,1.5,1.5,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Good Health Veggie Stix - Zesty Ranch,Food,14531184665,2022-01-05,Cash,112,1.5,1,112,1.5,1,1.5,1.5,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Pure Organic Fruit Bar - Strawberry Banana,Food,14531187276,2022-01-05,Cash,138,1.0,1,138,1.0,1,1.0,1.0,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Nutter Butter Bites,Food,14531630062,2022-01-05,Cash,124,1.5,1,124,1.5,1,1.5,1.5,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Pure Organic Fruit Bar - Strawberry Banana,Food,14531739810,2022-01-05,Cash,138,1.0,1,138,1.0,1,1.0,1.0,2022-01-05
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos Baked - Flaming Hot,Food,14532003173,2022-01-06,Cash,114,1.5,1,114,1.5,1,1.5,1.5,2022-01-06
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Snapple Diet Tea - Lemon,Non Carbonated,14533110987,2022-01-06,Cash,145,2.5,1,145,2.5,1,2.5,2.5,2022-01-06
Processed,VJ300320611,Brunswick Sq Mall,BSQ Mall x1366 - ATT,S. Pellegrino Sparkling Mineral Water,Water,14533291930,2022-01-06,Cash,143,2.0,1,143,2.0,1,2.0,2.0,2022-01-06
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14533912503,2022-01-06,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-06
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14534190801,2022-01-06,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-06
Processed,VJ300320686,Earle Asphalt,Earle Asphalt x1371,Wonderful Pistachios - Variety,Food,14534436227,2022-01-06,Cash,132,2.0,1,132,2.0,1,2.0,2.0,2022-01-06
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Mini Chips Ahoy,Food,14534931183,2022-01-06,Cash,120,1.5,1,120,1.5,1,1.5,1.5,2022-01-06
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Cheetos Baked - Flaming Hot,Food,14534948803,2022-01-06,Cash,114,1.5,1,114,1.5,1,1.5,1.5,2022-01-06
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,Newtons Fig Bar,Food,14534949842,2022-01-06,Cash,136,1.5,1,136,1.5,1,1.5,1.5,2022-01-06
Processed,VJ300320609,GuttenPlans,GuttenPlans x1367,KitKat - Crisp Wafers,Food,14535309081,2022-01-06,Cash,134,2.0,1,134,2.0,1,2.0,2.0,2022-01-06
