Status,Location,Machine,Product,Category,Transaction,TransDate,Type,RCoil,RPrice,RQty,MCoil,MPrice,MQty,LineTotal,TransTotal,Prcd Date,official_id
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,14515778905,2024-01-01,Credit,148,3.5,1,148,3.5,1,3.5,3.5,1/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,14516018629,2024-01-01,Credit,148,3.5,1,148,3.5,1,3.5,5.0,1/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14516018629,2024-01-01,Credit,123,1.5,1,123,1.5,1,1.5,5.0,1/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Takis - Hot Chilli Pepper & Lime,Food,14516020373,2024-01-01,Credit,123,1.5,1,123,1.5,1,1.5,1.5,1/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Red Bull - Energy Drink - Sugar Free,Carbonated,14516021756,2024-01-01,Credit,148,3.5,1,148,3.5,1,3.5,3.5,1/1/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14521288291,2024-01-03,Credit,146,3.0,1,146,3.0,1,3.0,3.0,1/3/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Miss Vickie's Potato Chip - Sea Salt Original,Food,14522946212,2024-01-04,Credit,114,1.5,1,114,1.5,1,1.5,1.5,1/4/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Monster Energy Original,Carbonated,14527909078,2024-01-05,Credit,146,3.0,1,146,3.0,1,3.0,3.0,1/5/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,S. Pellegrino Sparkling Mineral Water,Water,14533291930,2024-01-06,Cash,143,2.0,1,143,2.0,1,2.0,2.0,1/6/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Chum Fruit Bites - Mango/Strawberry,Food,14541788105,2024-01-08,Credit,124,1.25,1,124,1.25,1,1.25,1.25,1/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,Snapple Diet Tea - Raspberry,Non Carbonated,14542451941,2024-01-08,Cash,145,2.5,1,145,2.5,1,2.5,2.5,1/8/2022,VM_001
Processed,Brunswick Sq Mall,BSQ Mall x1366 - ATT,SunChips Multigrain - Harvest Cheddar,Food,14543096083,2024-01-08,Cash,125,1.5,1,125,1.5,1,1.5,1.5,1/8/2022,VM_001
